"ID","LookupID","sequencingID","Status","extractionID","SampleID","Cruise","Gradients","Type","project","Dataset","Station","Cast","Replicate","Datetime.local","Datetime.utc","Latitude.dec","Longitude.dec","Depth.m","Filter.um","Volume.L","Treatment","Incubation.time","Notes"
"G5-100017","armbrust_grc_rnaseq_21",1642363,"Complete; Pass","UW27","g5-uw-am-ns.01-27.B","TN412","g5","transect","g5-uw-am-ns","AM",NA,NA,"B",2025-01-27 06:13:00,2025-01-27 15:13:00,20.31,-137.57,5,0.2,10,NA,NA,""
"G5-100018","armbrust_grc_rnaseq_21",1642350,"Complete; Pass","UW23","g5-uw-am-ns.01-27.C","TN412","g5","transect","g5-uw-am-ns","AM",NA,NA,"C",2025-01-27 06:18:00,2025-01-27 15:18:00,20.31,-137.57,5,0.2,10,NA,NA,""
"G5-100022","armbrust_grc_rnaseq_21",1642379,"Complete; Pass","UW63","g5-uw-am-ns.01-28.A","TN412","g5","transect","g5-uw-am-ns","AM",2,NA,"A",2025-01-28 06:15:00,2025-01-28 15:15:00,19.33,-138.71,5,0.2,10,NA,NA,"""fresh lens"", warm freshwater at the surface, see CTD01"
"G5-100023","armbrust_grc_rnaseq_21",1642377,"Complete; Pass","UW70","g5-uw-am-ns.01-28.B","TN412","g5","transect","g5-uw-am-ns","AM",2,NA,"B",2025-01-28 06:19:00,2025-01-28 15:19:00,19.33,-138.71,5,0.2,10,NA,NA,"""fresh lens"", warm freshwater at the surface, see CTD01"
"G5-100024","armbrust_grc_rnaseq_21",1642370,"Complete; Pass","UW36","g5-uw-am-ns.01-28.C","TN412","g5","transect","g5-uw-am-ns","AM",2,NA,"C",2025-01-28 06:22:00,2025-01-28 15:22:00,19.33,-138.71,5,0.2,10,NA,NA,"""fresh lens"", warm freshwater at the surface, see CTD01"
"G5-100025","armbrust_grc_rnaseq_21",1642362,"Complete; Pass","UW66","g5-uw-am-ns.01-29.A","TN412","g5","transect","g5-uw-am-ns","AM",2,NA,"A",2025-01-29 06:15:00,2025-01-29 15:15:00,19.27,-138.9,5,0.2,10,NA,NA,""
"G5-100026","armbrust_grc_rnaseq_21",1642359,"Complete; Pass","UW51","g5-uw-am-ns.01-29.B","TN412","g5","transect","g5-uw-am-ns","AM",2,NA,"B",2025-01-29 06:15:00,2025-01-29 15:15:00,19.27,-138.9,5,0.2,10,NA,NA,""
"G5-100027","armbrust_grc_rnaseq_21",1642390,"Complete; Pass","UW28","g5-uw-am-ns.01-29.C","TN412","g5","transect","g5-uw-am-ns","AM",2,NA,"C",2025-01-29 06:15:00,2025-01-29 15:15:00,19.27,-138.9,5,0.2,10,NA,NA,""
"G5-100028","armbrust_grc_rnaseq_21",1642403,"Complete; Pass","UW7","g5-uw-am-ns.01-30.A","TN412","g5","transect","g5-uw-am-ns","AM",3,NA,"A",2025-01-30 06:14:00,2025-01-30 15:14:00,15.98,-140,5,0.2,10,NA,NA,""
"G5-100029","armbrust_grc_rnaseq_21",1642351,"Complete; Pass","UW56","g5-uw-am-ns.01-30.B","TN412","g5","transect","g5-uw-am-ns","AM",3,NA,"B",2025-01-30 06:14:00,2025-01-30 15:14:00,15.98,-140,5,0.2,10,NA,NA,""
"G5-100030","armbrust_grc_rnaseq_21",1642368,"Complete; Pass","UW21","g5-uw-am-ns.01-30.C","TN412","g5","transect","g5-uw-am-ns","AM",3,NA,"C",2025-01-30 06:14:00,2025-01-30 15:14:00,15.98,-140,5,0.2,10,NA,NA,""
"G5-100031","armbrust_grc_rnaseq_21",1642344,"Complete; Pass","UW52","g5-uw-am-ns.01-31.A","TN412","g5","transect","g5-uw-am-ns","AM",4,NA,"A",2025-01-31 06:09:00,2025-01-31 15:09:00,12.36,-140,5,0.2,10,NA,NA,""
"G5-100032","armbrust_grc_rnaseq_21",1642358,"Complete; Pass","UW11","g5-uw-am-ns.01-31.B","TN412","g5","transect","g5-uw-am-ns","AM",4,NA,"B",2025-01-31 06:09:00,2025-01-31 15:09:00,12.36,-140,5,0.2,10,NA,NA,""
